assignment_id,class_id,title,due_date,points_possible,category
A_568f56,2,Homework: Homeroom Week 41,2015-10-09,10,Homework
A_ab8191,2,Quiz: Homeroom Week 42,2015-10-16,20,Quiz
A_df5285,2,Homework: Homeroom Week 43,2015-10-20,10,Homework
A_60c4ba,2,Test: Homeroom Week 44,2015-10-29,100,Test
A_c6a8d9,2,Homework: Homeroom Week 44,2015-10-27,10,Homework
A_bea46b,2,Test: Homeroom Week 45,2015-11-05,100,Test
A_d9e19b,2,Homework: Homeroom Week 46,2015-11-14,10,Homework
A_8a366f,2,Homework: Homeroom Week 46,2015-11-12,10,Homework
A_20dd40,2,Test: Homeroom Week 47,2015-11-20,100,Test
A_06f5a0,2,Homework: Homeroom Week 48,2015-11-26,10,Homework
A_60be58,2,Test: Homeroom Week 49,2015-12-03,100,Test
A_225149,2,Test: Homeroom Week 50,2015-12-10,100,Test
A_bdaf9c,2,Test: Homeroom Week 51,2015-12-18,100,Test
A_3765e1,2,Quiz: Homeroom Week 51,2015-12-16,20,Quiz
A_36af2f,2,Homework: Homeroom Week 52,2015-12-25,10,Homework
A_fd5c53,2,Homework: Homeroom Week 52,2015-12-24,10,Homework
A_de9ef7,2,Homework: Homeroom Week 53,2015-12-30,10,Homework
A_a57e1c,2,Quiz: Homeroom Week 53,2015-12-30,20,Quiz
A_a7f8c2,2,Test: Homeroom Week 1,2016-01-06,100,Test
A_ca5776,2,Quiz: Homeroom Week 1,2016-01-07,20,Quiz
A_4f6408,2,Test: Homeroom Week 2,2016-01-14,100,Test
A_ed3156,2,Quiz: Homeroom Week 2,2016-01-16,20,Quiz
A_0cb15c,2,Quiz: Homeroom Week 3,2016-01-22,20,Quiz
A_d0c31a,2,Test: Homeroom Week 4,2016-01-27,100,Test
A_0a0bf3,2,Test: Homeroom Week 4,2016-01-30,100,Test
A_e9a110,2,Test: Homeroom Week 5,2016-02-03,100,Test
A_4f70d7,2,Quiz: Homeroom Week 5,2016-02-06,20,Quiz
A_64a29e,2,Quiz: Homeroom Week 6,2016-02-10,20,Quiz
A_6dd7bb,2,Quiz: Homeroom Week 6,2016-02-10,20,Quiz
A_63686d,2,Test: Homeroom Week 7,2016-02-16,100,Test
A_859192,2,Homework: Homeroom Week 7,2016-02-18,10,Homework
A_a154e9,2,Quiz: Homeroom Week 8,2016-02-24,20,Quiz
A_e2fdf8,2,Quiz: Homeroom Week 9,2016-03-04,20,Quiz
A_bafb11,2,Quiz: Homeroom Week 10,2016-03-11,20,Quiz
A_a214b2,2,Homework: Homeroom Week 11,2016-03-18,10,Homework
A_2f77cc,2,Homework: Homeroom Week 11,2016-03-18,10,Homework
A_858ed0,2,Test: Homeroom Week 12,2016-03-23,100,Test
A_d33008,2,Quiz: Homeroom Week 13,2016-04-01,20,Quiz
A_998f4e,2,Test: Homeroom Week 14,2016-04-08,100,Test
A_05e1fe,2,Homework: Homeroom Week 14,2016-04-09,10,Homework
A_6141ac,2,Test: Homeroom Week 15,2016-04-16,100,Test
A_bc4c08,2,Homework: Homeroom Week 15,2016-04-16,10,Homework
A_08a49b,2,Homework: Homeroom Week 16,2016-04-23,10,Homework
A_206cab,2,Quiz: Homeroom Week 17,2016-04-27,20,Quiz
A_7fdece,2,Test: Homeroom Week 17,2016-04-26,100,Test
A_909f85,2,Quiz: Homeroom Week 18,2016-05-05,20,Quiz
A_4f9616,2,Homework: Homeroom Week 18,2016-05-06,10,Homework
A_6afe54,2,Quiz: Homeroom Week 19,2016-05-11,20,Quiz
A_bd2ed8,2,Quiz: Homeroom Week 19,2016-05-13,20,Quiz
A_5836b1,2,Homework: Homeroom Week 20,2016-05-18,10,Homework
A_cf14e4,2,Homework: Homeroom Week 20,2016-05-21,10,Homework
A_9c2672,2,Homework: Homeroom Week 21,2016-05-28,10,Homework
A_9fc0c9,2,Homework: Homeroom Week 22,2016-06-02,10,Homework
A_ea2caa,2,Homework: Homeroom Week 22,2016-06-01,10,Homework
A_196e24,2,Test: Homeroom Week 23,2016-06-10,100,Test
A_832c4c,2,Test: Homeroom Week 24,2016-06-17,100,Test
A_5eae8d,2,Homework: Homeroom Week 24,2016-06-15,10,Homework
A_0ea618,3,Project: Math Week 36,2015-09-03,50,Project
A_48f1fc,3,Project: Math Week 37,2015-09-09,50,Project
A_7fa9cc,3,Project: Math Week 37,2015-09-08,50,Project
A_b8f88e,3,Test: Math Week 38,2015-09-17,100,Test
A_c22162,3,Project: Math Week 39,2015-09-26,50,Project
A_61ca5a,3,Quiz: Math Week 40,2015-09-30,20,Quiz
A_97e151,3,Project: Math Week 40,2015-09-30,50,Project
A_272793,3,Homework: Math Week 41,2015-10-10,10,Homework
A_b8ebfc,3,Quiz: Math Week 41,2015-10-09,20,Quiz
A_8e29a6,3,Project: Math Week 42,2015-10-16,50,Project
A_8ccb2b,3,Quiz: Math Week 43,2015-10-22,20,Quiz
A_e3b4b2,3,Homework: Math Week 44,2015-10-30,10,Homework
A_218f86,3,Project: Math Week 44,2015-10-28,50,Project
A_d7ea17,3,Test: Math Week 45,2015-11-07,100,Test
A_0ad92d,3,Homework: Math Week 46,2015-11-11,10,Homework
A_bed9d8,3,Test: Math Week 47,2015-11-20,100,Test
A_d5746e,3,Test: Math Week 48,2015-11-28,100,Test
A_5bd1af,3,Quiz: Math Week 48,2015-11-27,20,Quiz
A_fed668,3,Project: Math Week 49,2015-12-01,50,Project
A_e4524f,3,Quiz: Math Week 49,2015-12-02,20,Quiz
A_f81a9e,3,Homework: Math Week 50,2015-12-08,10,Homework
A_afaa0c,3,Project: Math Week 51,2015-12-15,50,Project
A_f9d9b9,3,Test: Math Week 51,2015-12-15,100,Test
A_ff4042,3,Project: Math Week 52,2015-12-25,50,Project
A_ef4f98,3,Test: Math Week 52,2015-12-23,100,Test
A_ded74d,3,Quiz: Math Week 53,2015-12-30,20,Quiz
A_eb6faa,3,Quiz: Math Week 1,2016-01-05,20,Quiz
A_24d1ad,3,Homework: Math Week 2,2016-01-12,10,Homework
A_1738ac,3,Quiz: Math Week 3,2016-01-19,20,Quiz
A_1cb3fe,3,Test: Math Week 3,2016-01-19,100,Test
A_039395,3,Project: Math Week 4,2016-01-26,50,Project
A_dfea55,3,Quiz: Math Week 5,2016-02-03,20,Quiz
A_ed5c55,3,Project: Math Week 5,2016-02-02,50,Project
A_b9e5da,3,Homework: Math Week 6,2016-02-13,10,Homework
A_14efa5,3,Homework: Math Week 6,2016-02-09,10,Homework
A_a9c7b5,3,Project: Math Week 7,2016-02-19,50,Project
A_80cc94,3,Quiz: Math Week 8,2016-02-24,20,Quiz
A_98d3a7,3,Project: Math Week 9,2016-03-01,50,Project
A_281490,3,Quiz: Math Week 10,2016-03-10,20,Quiz
A_142335,3,Test: Math Week 11,2016-03-18,100,Test
A_a12459,3,Test: Math Week 11,2016-03-18,100,Test
A_24dc7c,3,Quiz: Math Week 12,2016-03-24,20,Quiz
A_1d847d,3,Quiz: Math Week 13,2016-04-01,20,Quiz
A_5348ce,3,Project: Math Week 13,2016-03-31,50,Project
A_71c0dc,3,Test: Math Week 14,2016-04-09,100,Test
A_357fb8,3,Quiz: Math Week 15,2016-04-14,20,Quiz
A_a43448,3,Project: Math Week 15,2016-04-16,50,Project
A_b236c9,3,Homework: Math Week 16,2016-04-23,10,Homework
A_b8826e,3,Quiz: Math Week 16,2016-04-19,20,Quiz
A_bbbcaf,3,Project: Math Week 17,2016-04-26,50,Project
A_09cf4a,3,Homework: Math Week 18,2016-05-06,10,Homework
A_ec9c75,3,Homework: Math Week 19,2016-05-14,10,Homework
A_3e08af,3,Project: Math Week 19,2016-05-13,50,Project
A_676340,3,Homework: Math Week 20,2016-05-17,10,Homework
A_3db55f,3,Project: Math Week 20,2016-05-20,50,Project
A_70fba3,3,Homework: Math Week 21,2016-05-25,10,Homework
A_6297e2,3,Homework: Math Week 22,2016-05-31,10,Homework
A_81833e,3,Project: Math Week 23,2016-06-10,50,Project
A_eeee2c,3,Homework: Math Week 23,2016-06-08,10,Homework
A_bb59b9,3,Test: Math Week 24,2016-06-17,100,Test
A_1e69ae,4,Quiz: Math Week 36,2015-09-05,20,Quiz
A_61af8e,4,Test: Math Week 37,2015-09-11,100,Test
A_605296,4,Quiz: Math Week 38,2015-09-15,20,Quiz
A_f1a024,4,Test: Math Week 38,2015-09-18,100,Test
A_e400f4,4,Test: Math Week 39,2015-09-22,100,Test
A_10c6f7,4,Homework: Math Week 40,2015-10-01,10,Homework
A_6161ea,4,Test: Math Week 41,2015-10-10,100,Test
A_05ac40,4,Test: Math Week 42,2015-10-17,100,Test
A_5c4dbc,4,Quiz: Math Week 43,2015-10-24,20,Quiz
A_428d73,4,Quiz: Math Week 44,2015-10-28,20,Quiz
A_89cf0e,4,Quiz: Math Week 45,2015-11-03,20,Quiz
A_ed7bd3,4,Test: Math Week 45,2015-11-06,100,Test
A_905d63,4,Homework: Math Week 46,2015-11-11,10,Homework
A_4df141,4,Homework: Math Week 47,2015-11-20,10,Homework
A_ca3f7e,4,Quiz: Math Week 47,2015-11-18,20,Quiz
A_34f99a,4,Quiz: Math Week 48,2015-11-25,20,Quiz
A_af05a6,4,Project: Math Week 48,2015-11-26,50,Project
A_077168,4,Project: Math Week 49,2015-12-01,50,Project
A_14620d,4,Homework: Math Week 49,2015-12-04,10,Homework
A_33adf1,4,Quiz: Math Week 50,2015-12-10,20,Quiz
A_abe866,4,Homework: Math Week 51,2015-12-17,10,Homework
A_af8f34,4,Quiz: Math Week 52,2015-12-23,20,Quiz
A_27c996,4,Quiz: Math Week 53,2015-12-30,20,Quiz
A_83f270,4,Homework: Math Week 1,2016-01-07,10,Homework
A_8f1b67,4,Test: Math Week 2,2016-01-12,100,Test
A_061eb7,4,Homework: Math Week 3,2016-01-20,10,Homework
A_c7b004,4,Test: Math Week 3,2016-01-23,100,Test
A_1932c7,4,Project: Math Week 4,2016-01-28,50,Project
A_1601ec,4,Test: Math Week 4,2016-01-30,100,Test
A_76ec18,4,Test: Math Week 5,2016-02-03,100,Test
A_6dd47a,4,Test: Math Week 5,2016-02-05,100,Test
A_2a6394,4,Project: Math Week 6,2016-02-12,50,Project
A_21f06a,4,Test: Math Week 6,2016-02-13,100,Test
A_9325cb,4,Project: Math Week 7,2016-02-20,50,Project
A_1af995,4,Quiz: Math Week 7,2016-02-17,20,Quiz
A_f712ef,4,Quiz: Math Week 8,2016-02-27,20,Quiz
A_fe001d,4,Project: Math Week 8,2016-02-23,50,Project
A_303f53,4,Quiz: Math Week 9,2016-03-03,20,Quiz
A_1d487d,4,Project: Math Week 9,2016-03-05,50,Project
A_cd04dc,4,Test: Math Week 10,2016-03-11,100,Test
A_f4ee76,4,Homework: Math Week 11,2016-03-16,10,Homework
A_7de215,4,Test: Math Week 11,2016-03-16,100,Test
A_af9457,4,Quiz: Math Week 12,2016-03-26,20,Quiz
A_8c32ba,4,Project: Math Week 12,2016-03-23,50,Project
A_4dc7f3,4,Test: Math Week 13,2016-03-30,100,Test
A_ff9cf4,4,Homework: Math Week 14,2016-04-07,10,Homework
A_c9aebf,4,Quiz: Math Week 14,2016-04-06,20,Quiz
A_946e4d,4,Quiz: Math Week 15,2016-04-15,20,Quiz
A_1775d7,4,Project: Math Week 15,2016-04-13,50,Project
A_731920,4,Test: Math Week 16,2016-04-21,100,Test
A_521eb1,4,Project: Math Week 17,2016-04-29,50,Project
A_5125d7,4,Test: Math Week 18,2016-05-05,100,Test
A_09db95,4,Quiz: Math Week 19,2016-05-10,20,Quiz
A_597d0a,4,Homework: Math Week 19,2016-05-11,10,Homework
A_e03719,4,Homework: Math Week 20,2016-05-21,10,Homework
A_331475,4,Project: Math Week 20,2016-05-17,50,Project
A_5ac846,4,Quiz: Math Week 21,2016-05-24,20,Quiz
A_39958e,4,Test: Math Week 21,2016-05-27,100,Test
A_e3d40d,4,Test: Math Week 22,2016-06-02,100,Test
A_090340,4,Project: Math Week 22,2016-06-01,50,Project
A_a1f1b1,4,Homework: Math Week 23,2016-06-11,10,Homework
A_6e9cd7,4,Test: Math Week 23,2016-06-11,100,Test
A_2a11d3,4,Quiz: Math Week 24,2016-06-18,20,Quiz
A_b6dace,4,Homework: Math Week 24,2016-06-15,10,Homework
A_b7827c,5,Test: Reading Week 36,2015-09-03,100,Test
A_be811e,5,Test: Reading Week 37,2015-09-12,100,Test
A_047190,5,Test: Reading Week 37,2015-09-11,100,Test
A_23ec27,5,Homework: Reading Week 38,2015-09-17,10,Homework
A_7d29d0,5,Quiz: Reading Week 38,2015-09-19,20,Quiz
A_98c25e,5,Test: Reading Week 39,2015-09-24,100,Test
A_7b1c61,5,Homework: Reading Week 40,2015-10-02,10,Homework
A_fcd54f,5,Test: Reading Week 40,2015-10-03,100,Test
A_55703f,5,Test: Reading Week 41,2015-10-08,100,Test
A_d8a1f7,5,Test: Reading Week 41,2015-10-08,100,Test
A_79ef05,5,Homework: Reading Week 42,2015-10-15,10,Homework
A_842c5b,5,Homework: Reading Week 43,2015-10-20,10,Homework
A_3a7fec,5,Quiz: Reading Week 44,2015-10-30,20,Quiz
A_0cd8a4,5,Test: Reading Week 45,2015-11-03,100,Test
A_7d44dc,5,Quiz: Reading Week 45,2015-11-07,20,Quiz
A_b21885,5,Test: Reading Week 46,2015-11-11,100,Test
A_39fe06,5,Test: Reading Week 46,2015-11-13,100,Test
A_4700b3,5,Quiz: Reading Week 47,2015-11-19,20,Quiz
A_79582a,5,Test: Reading Week 47,2015-11-18,100,Test
A_61fdb5,5,Homework: Reading Week 48,2015-11-27,10,Homework
A_3221e2,5,Homework: Reading Week 48,2015-11-27,10,Homework
A_ed88c6,5,Homework: Reading Week 49,2015-12-05,10,Homework
A_a2b4d3,5,Homework: Reading Week 50,2015-12-11,10,Homework
A_b7024c,5,Homework: Reading Week 50,2015-12-08,10,Homework
A_3e4657,5,Quiz: Reading Week 51,2015-12-19,20,Quiz
A_6458ed,5,Homework: Reading Week 52,2015-12-25,10,Homework
A_c570b4,5,Test: Reading Week 53,2015-12-30,100,Test
A_ab9ead,5,Homework: Reading Week 53,2015-12-31,10,Homework
A_eb6681,5,Quiz: Reading Week 1,2016-01-05,20,Quiz
A_9348d0,5,Test: Reading Week 2,2016-01-14,100,Test
A_052cfd,5,Test: Reading Week 2,2016-01-15,100,Test
A_b75cf0,5,Homework: Reading Week 3,2016-01-23,10,Homework
A_a3f949,5,Quiz: Reading Week 3,2016-01-22,20,Quiz
A_876fd8,5,Test: Reading Week 4,2016-01-27,100,Test
A_0a9139,5,Test: Reading Week 4,2016-01-27,100,Test
A_73a971,5,Quiz: Reading Week 5,2016-02-05,20,Quiz
A_f943df,5,Test: Reading Week 5,2016-02-05,100,Test
A_b0799f,5,Quiz: Reading Week 6,2016-02-09,20,Quiz
A_46930f,5,Quiz: Reading Week 6,2016-02-10,20,Quiz
A_356229,5,Test: Reading Week 7,2016-02-19,100,Test
A_f34087,5,Quiz: Reading Week 7,2016-02-19,20,Quiz
A_f817b1,5,Quiz: Reading Week 8,2016-02-26,20,Quiz
A_e2338f,5,Homework: Reading Week 8,2016-02-27,10,Homework
A_e2a3f9,5,Homework: Reading Week 9,2016-03-03,10,Homework
A_dd416c,5,Test: Reading Week 10,2016-03-11,100,Test
A_cf4f59,5,Homework: Reading Week 11,2016-03-19,10,Homework
A_501206,5,Test: Reading Week 12,2016-03-23,100,Test
A_37aa7e,5,Homework: Reading Week 13,2016-03-29,10,Homework
A_f292c9,5,Homework: Reading Week 13,2016-03-30,10,Homework
A_60bd02,5,Test: Reading Week 14,2016-04-07,100,Test
A_571073,5,Homework: Reading Week 15,2016-04-13,10,Homework
A_5a3bbf,5,Test: Reading Week 16,2016-04-21,100,Test
A_83f1d2,5,Quiz: Reading Week 17,2016-04-27,20,Quiz
A_29a82c,5,Homework: Reading Week 18,2016-05-07,10,Homework
A_49af1b,5,Homework: Reading Week 19,2016-05-13,10,Homework
A_25b1d1,5,Homework: Reading Week 19,2016-05-12,10,Homework
A_bdfa78,5,Test: Reading Week 20,2016-05-21,100,Test
A_1f01d6,5,Test: Reading Week 20,2016-05-17,100,Test
A_a8fcd9,5,Homework: Reading Week 21,2016-05-25,10,Homework
A_0030cb,5,Quiz: Reading Week 21,2016-05-27,20,Quiz
A_3fa113,5,Test: Reading Week 22,2016-05-31,100,Test
A_c16528,5,Test: Reading Week 23,2016-06-07,100,Test
A_a137e5,5,Test: Reading Week 24,2016-06-17,100,Test
A_c2d78b,6,Quiz: Reading Week 36,2015-09-02,20,Quiz
A_36ecb9,6,Test: Reading Week 36,2015-09-02,100,Test
A_80b6b7,6,Quiz: Reading Week 37,2015-09-11,20,Quiz
A_88a97b,6,Quiz: Reading Week 37,2015-09-09,20,Quiz
A_789a29,6,Homework: Reading Week 38,2015-09-16,10,Homework
A_fd18c0,6,Test: Reading Week 39,2015-09-23,100,Test
A_1fc3e4,6,Quiz: Reading Week 39,2015-09-22,20,Quiz
A_24f3bd,6,Homework: Reading Week 40,2015-09-30,10,Homework
A_eaa54c,6,Quiz: Reading Week 40,2015-10-01,20,Quiz
A_fa6f8a,6,Homework: Reading Week 41,2015-10-07,10,Homework
A_d1efb2,6,Homework: Reading Week 41,2015-10-06,10,Homework
A_820d24,6,Quiz: Reading Week 42,2015-10-14,20,Quiz
A_f2dcbf,6,Homework: Reading Week 43,2015-10-20,10,Homework
A_6e5eab,6,Quiz: Reading Week 43,2015-10-24,20,Quiz
A_85ee24,6,Test: Reading Week 44,2015-10-28,100,Test
A_92cb49,6,Quiz: Reading Week 45,2015-11-06,20,Quiz
A_28d248,6,Test: Reading Week 45,2015-11-07,100,Test
A_9c8bfd,6,Quiz: Reading Week 46,2015-11-10,20,Quiz
A_86f639,6,Test: Reading Week 46,2015-11-13,100,Test
A_d24835,6,Test: Reading Week 47,2015-11-17,100,Test
A_177f00,6,Homework: Reading Week 47,2015-11-18,10,Homework
A_d2935a,6,Quiz: Reading Week 48,2015-11-27,20,Quiz
A_2a2b72,6,Test: Reading Week 48,2015-11-28,100,Test
A_a69b34,6,Homework: Reading Week 49,2015-12-02,10,Homework
A_ceb852,6,Homework: Reading Week 50,2015-12-12,10,Homework
A_273984,6,Quiz: Reading Week 50,2015-12-10,20,Quiz
A_f2eecc,6,Quiz: Reading Week 51,2015-12-19,20,Quiz
A_db6746,6,Test: Reading Week 51,2015-12-17,100,Test
A_dfcf92,6,Test: Reading Week 52,2015-12-24,100,Test
A_7de53e,6,Test: Reading Week 52,2015-12-25,100,Test
A_bfadc4,6,Test: Reading Week 53,2015-12-30,100,Test
A_5b2922,6,Homework: Reading Week 1,2016-01-08,10,Homework
A_3db62d,6,Test: Reading Week 2,2016-01-15,100,Test
A_86dad9,6,Test: Reading Week 2,2016-01-14,100,Test
A_90af6f,6,Quiz: Reading Week 3,2016-01-19,20,Quiz
A_e552cb,6,Test: Reading Week 3,2016-01-23,100,Test
A_31d5cf,6,Homework: Reading Week 4,2016-01-29,10,Homework
A_77e221,6,Quiz: Reading Week 5,2016-02-05,20,Quiz
A_73527e,6,Test: Reading Week 5,2016-02-03,100,Test
A_71013b,6,Quiz: Reading Week 6,2016-02-13,20,Quiz
A_604403,6,Homework: Reading Week 6,2016-02-13,10,Homework
A_4d9f55,6,Homework: Reading Week 7,2016-02-16,10,Homework
A_b7889c,6,Test: Reading Week 8,2016-02-27,100,Test
A_90414f,6,Test: Reading Week 9,2016-03-02,100,Test
A_e2411e,6,Test: Reading Week 9,2016-03-02,100,Test
A_4c7b12,6,Quiz: Reading Week 10,2016-03-09,20,Quiz
A_ce1c5b,6,Homework: Reading Week 10,2016-03-09,10,Homework
A_a7e837,6,Homework: Reading Week 11,2016-03-18,10,Homework
A_d1b808,6,Test: Reading Week 12,2016-03-24,100,Test
A_d1dafa,6,Test: Reading Week 12,2016-03-23,100,Test
A_70e0cb,6,Quiz: Reading Week 13,2016-04-02,20,Quiz
A_2a9921,6,Quiz: Reading Week 13,2016-03-31,20,Quiz
A_83ca7a,6,Quiz: Reading Week 14,2016-04-07,20,Quiz
A_515719,6,Homework: Reading Week 14,2016-04-07,10,Homework
A_cc515a,6,Quiz: Reading Week 15,2016-04-14,20,Quiz
A_8155d1,6,Test: Reading Week 15,2016-04-14,100,Test
A_9824ff,6,Quiz: Reading Week 16,2016-04-22,20,Quiz
A_7e5607,6,Homework: Reading Week 17,2016-04-29,10,Homework
A_53f09a,6,Test: Reading Week 18,2016-05-05,100,Test
A_efbe17,6,Test: Reading Week 18,2016-05-04,100,Test
A_f72490,6,Quiz: Reading Week 19,2016-05-11,20,Quiz
A_368f02,6,Test: Reading Week 20,2016-05-19,100,Test
A_9b258a,6,Test: Reading Week 20,2016-05-19,100,Test
A_479430,6,Test: Reading Week 21,2016-05-27,100,Test
A_8294b3,6,Quiz: Reading Week 21,2016-05-26,20,Quiz
A_e8f0c7,6,Test: Reading Week 22,2016-06-02,100,Test
A_54ac5b,6,Quiz: Reading Week 22,2016-06-02,20,Quiz
A_074227,6,Homework: Reading Week 23,2016-06-08,10,Homework
A_0b92c5,6,Quiz: Reading Week 24,2016-06-14,20,Quiz
A_6073d7,7,Test: Science Week 36,2015-09-03,100,Test
A_1f0378,7,Test: Science Week 36,2015-09-02,100,Test
A_8980b5,7,Quiz: Science Week 37,2015-09-08,20,Quiz
A_463b14,7,Lab: Science Week 38,2015-09-15,50,Lab
A_f28bde,7,Quiz: Science Week 38,2015-09-19,20,Quiz
A_3a8373,7,Test: Science Week 39,2015-09-25,100,Test
A_4fb5b4,7,Lab: Science Week 40,2015-10-01,50,Lab
A_665725,7,Lab: Science Week 40,2015-10-02,50,Lab
A_7acdcc,7,Test: Science Week 41,2015-10-08,100,Test
A_d9d322,7,Test: Science Week 42,2015-10-17,100,Test
A_7d0876,7,Quiz: Science Week 42,2015-10-15,20,Quiz
A_acdde7,7,Quiz: Science Week 43,2015-10-23,20,Quiz
A_9f8333,7,Test: Science Week 43,2015-10-23,100,Test
A_f50191,7,Test: Science Week 44,2015-10-30,100,Test
A_eaa535,7,Quiz: Science Week 44,2015-10-28,20,Quiz
A_5708d1,7,Lab: Science Week 45,2015-11-05,50,Lab
A_cb5731,7,Test: Science Week 45,2015-11-03,100,Test
A_9014d3,7,Lab: Science Week 46,2015-11-14,50,Lab
A_e7a4ef,7,Quiz: Science Week 47,2015-11-19,20,Quiz
A_4cacee,7,Quiz: Science Week 48,2015-11-24,20,Quiz
A_c20292,7,Lab: Science Week 48,2015-11-26,50,Lab
A_d374e1,7,Quiz: Science Week 49,2015-12-03,20,Quiz
